65951,65951,65951,65987,65951,65951,65951,66027,65995,65979,65951,65951,66025,66054,66000,65984,66055,66049,66043,66043,66129,66131,66098,66134,66067,66094,66114,66106,66145,66150,66177,66163,66164,66136,66033,66168,66126,66093,66068,66132,66212,66031,66033,66035,66036,66030,66168,66156,66211,66131,66245,66189,66254,66268,66225,66213,66216,66270,66005,66209,66236,66287,66279,66283,66308,66316,66265,66251,65965,66148,66155,66189,66161,66293,66331,66189,66151,66322,66270,66236
65952,65952,65952,65988,65952,65952,65952,66028,65996,65980,65952,65952,66026,66055,66001,65985,66056,66050,66044,66044,66130,66132,66099,66135,66068,66095,66115,66107,66146,66151,66178,66164,66165,66137,66034,66169,66127,66094,66069,66133,66213,66032,66034,66036,66037,66031,66169,66157,66212,66132,66246,66190,66255,66269,66226,66214,66217,66271,66006,66210,66237,66288,66280,66284,66309,66317,66266,66252,65966,66149,66156,66190,66162,66294,66332,66190,66152,66323,66271,66237
65953,65953,65953,65989,65953,65953,65953,66029,65997,65981,65953,65953,66027,66056,66002,65986,66057,66051,66045,66045,66131,66133,66100,66136,66069,66096,66116,66108,66147,66152,66179,66165,66166,66138,66035,66170,66128,66095,66070,66134,66214,66033,66035,66037,66038,66032,66170,66158,66213,66133,66247,66191,66256,66270,66227,66215,66218,66272,66007,66211,66238,66289,66281,66285,66310,66318,66267,66253,65967,66150,66157,66191,66163,66295,66333,66191,66153,66324,66272,66238
65954,65954,65954,65990,65954,65954,65954,66030,65998,65982,65954,65954,66028,66057,66003,65987,66058,66052,66046,66046,66132,66134,66101,66137,66070,66097,66117,66109,66148,66153,66180,66166,66167,66139,66036,66171,66129,66096,66071,66135,66215,66034,66036,66038,66039,66033,66171,66159,66214,66134,66248,66192,66257,66271,66228,66216,66219,66273,66008,66212,66239,66290,66282,66286,66311,66319,66268,66254,65968,66151,66158,66192,66164,66296,66334,66192,66154,66325,66273,66239
65955,65955,65955,65991,65955,65955,65955,66031,65999,65983,65955,65955,66029,66058,66004,65988,66059,66053,66047,66047,66133,66135,66102,66138,66071,66098,66118,66110,66149,66154,66181,66167,66168,66140,66037,66172,66130,66097,66072,66136,66216,66035,66037,66039,66040,66034,66172,66160,66215,66135,66249,66193,66258,66272,66229,66217,66220,66274,66009,66213,66240,66291,66283,66287,66312,66320,66269,66255,65969,66152,66159,66193,66165,66297,66335,66193,66155,66326,66274,66240
65956,65956,65956,65992,65956,65956,65956,66032,66000,65984,65956,65956,66030,66059,66005,65989,66060,66054,66048,66048,66134,66136,66103,66139,66072,66099,66119,66111,66150,66155,66182,66168,66169,66141,66038,66173,66131,66098,66073,66137,66217,66036,66038,66040,66041,66035,66173,66161,66216,66136,66250,66194,66259,66273,66230,66218,66221,66275,66010,66214,66241,66292,66284,66288,66313,66321,66270,66256,65970,66153,66160,66194,66166,66298,66336,66194,66156,66327,66275,66241
65957,65957,65957,65993,65957,65957,65957,66033,66001,65985,65957,65957,66031,66060,66006,65990,66061,66055,66049,66049,66135,66137,66104,66140,66073,66100,66120,66112,66151,66156,66183,66169,66170,66142,66039,66174,66132,66099,66074,66138,66218,66037,66039,66041,66042,66036,66174,66162,66217,66137,66251,66195,66260,66274,66231,66219,66222,66276,66011,66215,66242,66293,66285,66289,66314,66322,66271,66257,65971,66154,66161,66195,66167,66299,66337,66195,66157,66328,66276,66242
65958,65958,65958,65994,65958,65958,65958,66034,66002,65986,65958,65958,66032,66061,66007,65991,66062,66056,66050,66050,66136,66138,66105,66141,66074,66101,66121,66113,66152,66157,66184,66170,66171,66143,66040,66175,66133,66100,66075,66139,66219,66038,66040,66042,66043,66037,66175,66163,66218,66138,66252,66196,66261,66275,66232,66220,66223,66277,66012,66216,66243,66294,66286,66290,66315,66323,66272,66258,65972,66155,66162,66196,66168,66300,66338,66196,66158,66329,66277,66243
65959,65959,65959,65995,65959,65959,65959,66035,66003,65987,65959,65959,66033,66062,66008,65992,66063,66057,66051,66051,66137,66139,66106,66142,66075,66102,66122,66114,66153,66158,66185,66171,66172,66144,66041,66176,66134,66101,66076,66140,66220,66039,66041,66043,66044,66038,66176,66164,66219,66139,66253,66197,66262,66276,66233,66221,66224,66278,66013,66217,66244,66295,66287,66291,66316,66324,66273,66259,65973,66156,66163,66197,66169,66301,66339,66197,66159,66330,66278,66244
65960,65960,65960,65996,65960,65960,65960,66036,66004,65988,65960,65960,66034,66063,66009,65993,66064,66058,66052,66052,66138,66140,66107,66143,66076,66103,66123,66115,66154,66159,66186,66172,66173,66145,66042,66177,66135,66102,66077,66141,66221,66040,66042,66044,66045,66039,66177,66165,66220,66140,66254,66198,66263,66277,66234,66222,66225,66279,66014,66218,66245,66296,66288,66292,66317,66325,66274,66260,65974,66157,66164,66198,66170,66302,66340,66198,66160,66331,66279,66245
