49055,49055,49057,49055,49057,49060,49097,49126,49055,49116,49055,49089,49118,49110,49065,49174,49063,49176,49166,49059,49122,49156,49112,49181,49055,49062,49238,49209,49209,49136,49149,49119,49161,49055,49152,49101,49055,49194,49238,49186,49196,49180,49200,49323,49360,49385,49365,49285,49422,49055,49055,49055,49205,49196,49092,49117,49171,49173,49173,49103,49166,49138,49154,49081,49352,49502,49333,49283,49071,49369,49435,49250,49427,49381,49420,49260,49261,49262,49239,49236,49263,49370,49240
49056,49056,49058,49056,49058,49061,49098,49127,49056,49117,49056,49090,49119,49111,49066,49175,49064,49177,49167,49060,49123,49157,49113,49182,49056,49063,49239,49210,49210,49137,49150,49120,49162,49056,49153,49102,49056,49195,49239,49187,49197,49181,49201,49324,49361,49386,49366,49286,49423,49056,49056,49056,49206,49197,49093,49118,49172,49174,49174,49104,49167,49139,49155,49082,49353,49503,49334,49284,49072,49370,49436,49251,49428,49382,49421,49261,49262,49263,49240,49237,49264,49371,49241
49057,49057,49059,49057,49059,49062,49099,49128,49057,49118,49057,49091,49120,49112,49067,49176,49065,49178,49168,49061,49124,49158,49114,49183,49057,49064,49240,49211,49211,49138,49151,49121,49163,49057,49154,49103,49057,49196,49240,49188,49198,49182,49202,49325,49362,49387,49367,49287,49424,49057,49057,49057,49207,49198,49094,49119,49173,49175,49175,49105,49168,49140,49156,49083,49354,49504,49335,49285,49073,49371,49437,49252,49429,49383,49422,49262,49263,49264,49241,49238,49265,49372,49242
49058,49058,49060,49058,49060,49063,49100,49129,49058,49119,49058,49092,49121,49113,49068,49177,49066,49179,49169,49062,49125,49159,49115,49184,49058,49065,49241,49212,49212,49139,49152,49122,49164,49058,49155,49104,49058,49197,49241,49189,49199,49183,49203,49326,49363,49388,49368,49288,49425,49058,49058,49058,49208,49199,49095,49120,49174,49176,49176,49106,49169,49141,49157,49084,49355,49505,49336,49286,49074,49372,49438,49253,49430,49384,49423,49263,49264,49265,49242,49239,49266,49373,49243
49059,49059,49061,49059,49061,49064,49101,49130,49059,49120,49059,49093,49122,49114,49069,49178,49067,49180,49170,49063,49126,49160,49116,49185,49059,49066,49242,49213,49213,49140,49153,49123,49165,49059,49156,49105,49059,49198,49242,49190,49200,49184,49204,49327,49364,49389,49369,49289,49426,49059,49059,49059,49209,49200,49096,49121,49175,49177,49177,49107,49170,49142,49158,49085,49356,49506,49337,49287,49075,49373,49439,49254,49431,49385,49424,49264,49265,49266,49243,49240,49267,49374,49244
49060,49060,49062,49060,49062,49065,49102,49131,49060,49121,49060,49094,49123,49115,49070,49179,49068,49181,49171,49064,49127,49161,49117,49186,49060,49067,49243,49214,49214,49141,49154,49124,49166,49060,49157,49106,49060,49199,49243,49191,49201,49185,49205,49328,49365,49390,49370,49290,49427,49060,49060,49060,49210,49201,49097,49122,49176,49178,49178,49108,49171,49143,49159,49086,49357,49507,49338,49288,49076,49374,49440,49255,49432,49386,49425,49265,49266,49267,49244,49241,49268,49375,49245
49061,49061,49063,49061,49063,49066,49103,49132,49061,49122,49061,49095,49124,49116,49071,49180,49069,49182,49172,49065,49128,49162,49118,49187,49061,49068,49244,49215,49215,49142,49155,49125,49167,49061,49158,49107,49061,49200,49244,49192,49202,49186,49206,49329,49366,49391,49371,49291,49428,49061,49061,49061,49211,49202,49098,49123,49177,49179,49179,49109,49172,49144,49160,49087,49358,49508,49339,49289,49077,49375,49441,49256,49433,49387,49426,49266,49267,49268,49245,49242,49269,49376,49246
49062,49062,49064,49062,49064,49067,49104,49133,49062,49123,49062,49096,49125,49117,49072,49181,49070,49183,49173,49066,49129,49163,49119,49188,49062,49069,49245,49216,49216,49143,49156,49126,49168,49062,49159,49108,49062,49201,49245,49193,49203,49187,49207,49330,49367,49392,49372,49292,49429,49062,49062,49062,49212,49203,49099,49124,49178,49180,49180,49110,49173,49145,49161,49088,49359,49509,49340,49290,49078,49376,49442,49257,49434,49388,49427,49267,49268,49269,49246,49243,49270,49377,49247
49063,49063,49065,49063,49065,49068,49105,49134,49063,49124,49063,49097,49126,49118,49073,49182,49071,49184,49174,49067,49130,49164,49120,49189,49063,49070,49246,49217,49217,49144,49157,49127,49169,49063,49160,49109,49063,49202,49246,49194,49204,49188,49208,49331,49368,49393,49373,49293,49430,49063,49063,49063,49213,49204,49100,49125,49179,49181,49181,49111,49174,49146,49162,49089,49360,49510,49341,49291,49079,49377,49443,49258,49435,49389,49428,49268,49269,49270,49247,49244,49271,49378,49248
49064,49064,49066,49064,49066,49069,49106,49135,49064,49125,49064,49098,49127,49119,49074,49183,49072,49185,49175,49068,49131,49165,49121,49190,49064,49071,49247,49218,49218,49145,49158,49128,49170,49064,49161,49110,49064,49203,49247,49195,49205,49189,49209,49332,49369,49394,49374,49294,49431,49064,49064,49064,49214,49205,49101,49126,49180,49182,49182,49112,49175,49147,49163,49090,49361,49511,49342,49292,49080,49378,49444,49259,49436,49390,49429,49269,49270,49271,49248,49245,49272,49379,49249
