41076,41076,41076,41095,41099,41076,41133,41147,41136,41076,41198,41212,41216,41203,41201,41144,41263,41204,41186,41277,41263,41278,41306,41308,41291,41400,41430,41280,41414,41388,41272,41440,41444,41414,41076,41300,41238,41287,41076,41527,41491,41477,41469,41311,41496,41464
41077,41077,41077,41096,41100,41077,41134,41148,41137,41077,41199,41213,41217,41204,41202,41145,41264,41205,41187,41278,41264,41279,41307,41309,41292,41401,41431,41281,41415,41389,41273,41441,41445,41415,41077,41301,41239,41288,41077,41528,41492,41478,41470,41312,41497,41465
41078,41078,41078,41097,41101,41078,41135,41149,41138,41078,41200,41214,41218,41205,41203,41146,41265,41206,41188,41279,41265,41280,41308,41310,41293,41402,41432,41282,41416,41390,41274,41442,41446,41416,41078,41302,41240,41289,41078,41529,41493,41479,41471,41313,41498,41466
41079,41079,41079,41098,41102,41079,41136,41150,41139,41079,41201,41215,41219,41206,41204,41147,41266,41207,41189,41280,41266,41281,41309,41311,41294,41403,41433,41283,41417,41391,41275,41443,41447,41417,41079,41303,41241,41290,41079,41530,41494,41480,41472,41314,41499,41467
41080,41080,41080,41099,41103,41080,41137,41151,41140,41080,41202,41216,41220,41207,41205,41148,41267,41208,41190,41281,41267,41282,41310,41312,41295,41404,41434,41284,41418,41392,41276,41444,41448,41418,41080,41304,41242,41291,41080,41531,41495,41481,41473,41315,41500,41468
41081,41081,41081,41100,41104,41081,41138,41152,41141,41081,41203,41217,41221,41208,41206,41149,41268,41209,41191,41282,41268,41283,41311,41313,41296,41405,41435,41285,41419,41393,41277,41445,41449,41419,41081,41305,41243,41292,41081,41532,41496,41482,41474,41316,41501,41469
41082,41082,41082,41101,41105,41082,41139,41153,41142,41082,41204,41218,41222,41209,41207,41150,41269,41210,41192,41283,41269,41284,41312,41314,41297,41406,41436,41286,41420,41394,41278,41446,41450,41420,41082,41306,41244,41293,41082,41533,41497,41483,41475,41317,41502,41470
41083,41083,41083,41102,41106,41083,41140,41154,41143,41083,41205,41219,41223,41210,41208,41151,41270,41211,41193,41284,41270,41285,41313,41315,41298,41407,41437,41287,41421,41395,41279,41447,41451,41421,41083,41307,41245,41294,41083,41534,41498,41484,41476,41318,41503,41471
41084,41084,41084,41103,41107,41084,41141,41155,41144,41084,41206,41220,41224,41211,41209,41152,41271,41212,41194,41285,41271,41286,41314,41316,41299,41408,41438,41288,41422,41396,41280,41448,41452,41422,41084,41308,41246,41295,41084,41535,41499,41485,41477,41319,41504,41472
41085,41085,41085,41104,41108,41085,41142,41156,41145,41085,41207,41221,41225,41212,41210,41153,41272,41213,41195,41286,41272,41287,41315,41317,41300,41409,41439,41289,41423,41397,41281,41449,41453,41423,41085,41309,41247,41296,41085,41536,41500,41486,41478,41320,41505,41473
41086,41086,41086,41105,41109,41086,41143,41157,41146,41086,41208,41222,41226,41213,41211,41154,41273,41214,41196,41287,41273,41288,41316,41318,41301,41410,41440,41290,41424,41398,41282,41450,41454,41424,41086,41310,41248,41297,41086,41537,41501,41487,41479,41321,41506,41474
41087,41087,41087,41106,41110,41087,41144,41158,41147,41087,41209,41223,41227,41214,41212,41155,41274,41215,41197,41288,41274,41289,41317,41319,41302,41411,41441,41291,41425,41399,41283,41451,41455,41425,41087,41311,41249,41298,41087,41538,41502,41488,41480,41322,41507,41475
41088,41088,41088,41107,41111,41088,41145,41159,41148,41088,41210,41224,41228,41215,41213,41156,41275,41216,41198,41289,41275,41290,41318,41320,41303,41412,41442,41292,41426,41400,41284,41452,41456,41426,41088,41312,41250,41299,41088,41539,41503,41489,41481,41323,41508,41476
41089,41089,41089,41108,41112,41089,41146,41160,41149,41089,41211,41225,41229,41216,41214,41157,41276,41217,41199,41290,41276,41291,41319,41321,41304,41413,41443,41293,41427,41401,41285,41453,41457,41427,41089,41313,41251,41300,41089,41540,41504,41490,41482,41324,41509,41477
41090,41090,41090,41109,41113,41090,41147,41161,41150,41090,41212,41226,41230,41217,41215,41158,41277,41218,41200,41291,41277,41292,41320,41322,41305,41414,41444,41294,41428,41402,41286,41454,41458,41428,41090,41314,41252,41301,41090,41541,41505,41491,41483,41325,41510,41478
41091,41091,41091,41110,41114,41091,41148,41162,41151,41091,41213,41227,41231,41218,41216,41159,41278,41219,41201,41292,41278,41293,41321,41323,41306,41415,41445,41295,41429,41403,41287,41455,41459,41429,41091,41315,41253,41302,41091,41542,41506,41492,41484,41326,41511,41479
0,41092,41092,41111,41115,41092,41149,41163,41152,41092,41214,41228,41232,41219,41217,41160,41279,41220,41202,41293,41279,41294,41322,41324,41307,41416,41446,41296,41430,41404,41288,41456,41460,41430,41092,41316,41254,41303,41092,41543,41507,41493,41485,41327,41512,41480
0,41093,41093,41112,41116,41093,41150,41164,41153,41093,41215,41229,41233,41220,41218,41161,41280,41221,41203,41294,41280,41295,41323,41325,41308,41417,41447,41297,41431,41405,41289,41457,41461,41431,41093,41317,41255,41304,41093,41544,41508,41494,41486,41328,41513,41481
0,41094,41094,41113,41117,41094,41151,41165,41154,41094,41216,41230,41234,41221,41219,41162,41281,41222,41204,41295,41281,41296,41324,41326,41309,41418,41448,41298,41432,41406,41290,41458,41462,41432,41094,41318,41256,41305,41094,41545,41509,41495,41487,41329,41514,41482
0,41095,41095,41114,41118,41095,41152,41166,41155,41095,41217,41231,41235,41222,41220,41163,41282,41223,41205,41296,41282,41297,41325,41327,41310,41419,41449,41299,41433,41407,41291,41459,41463,41433,41095,41319,41257,41306,41095,41546,41510,41496,41488,41330,41515,41483
0,41096,41096,41115,41119,41096,41153,41167,41156,41096,41218,41232,41236,41223,41221,41164,41283,41224,41206,41297,41283,41298,41326,41328,41311,41420,41450,41300,41434,41408,41292,41460,41464,41434,41096,41320,41258,41307,41096,41547,41511,41497,41489,41331,41516,41484
0,41097,41097,41116,41120,41097,41154,41168,41157,41097,41219,41233,41237,41224,41222,41165,41284,41225,41207,41298,41284,41299,41327,41329,41312,41421,41451,41301,41435,41409,41293,41461,41465,41435,41097,41321,41259,41308,41097,41548,41512,41498,41490,41332,41517,41485
