38612,38610,38612,38610,38610,38615,38610,38610,38630,38629,38610,38612,38610,38623,38735,38714,38731,38610,38610,38700,38831,38758,38865,38788,38768,38783,38728,38831,38770,38811,38819,38937,38905,38900,38829,38632,38610,38674,38610,38651,38636,38641,38968,38671,38649,38935,38931,38839,38960,38786,38775,38852,38944,38685,38738,38741,38840,38771,38837,38974,38838,38830,38879,38725,38638
38613,38611,38613,38611,38611,38616,38611,38611,38631,38630,38611,38613,38611,38624,38736,38715,38732,38611,38611,38701,38832,38759,38866,38789,38769,38784,38729,38832,38771,38812,38820,38938,38906,38901,38830,38633,38611,38675,38611,38652,38637,38642,38969,38672,38650,38936,38932,38840,38961,38787,38776,38853,38945,38686,38739,38742,38841,38772,38838,38975,38839,38831,38880,38726,38639
38614,38612,38614,38612,38612,38617,38612,38612,38632,38631,38612,38614,38612,38625,38737,38716,38733,38612,38612,38702,38833,38760,38867,38790,38770,38785,38730,38833,38772,38813,38821,38939,38907,38902,38831,38634,38612,38676,38612,38653,38638,38643,38970,38673,38651,38937,38933,38841,38962,38788,38777,38854,38946,38687,38740,38743,38842,38773,38839,38976,38840,38832,38881,38727,38640
38615,38613,38615,38613,38613,38618,38613,38613,38633,38632,38613,38615,38613,38626,38738,38717,38734,38613,38613,38703,38834,38761,38868,38791,38771,38786,38731,38834,38773,38814,38822,38940,38908,38903,38832,38635,38613,38677,38613,38654,38639,38644,38971,38674,38652,38938,38934,38842,38963,38789,38778,38855,38947,38688,38741,38744,38843,38774,38840,38977,38841,38833,38882,38728,38641
38616,38614,38616,38614,38614,38619,38614,38614,38634,38633,38614,38616,38614,38627,38739,38718,38735,38614,38614,38704,38835,38762,38869,38792,38772,38787,38732,38835,38774,38815,38823,38941,38909,38904,38833,38636,38614,38678,38614,38655,38640,38645,38972,38675,38653,38939,38935,38843,38964,38790,38779,38856,38948,38689,38742,38745,38844,38775,38841,38978,38842,38834,38883,38729,38642
38617,38615,38617,38615,38615,38620,38615,38615,38635,38634,38615,38617,38615,38628,38740,38719,38736,38615,38615,38705,38836,38763,38870,38793,38773,38788,38733,38836,38775,38816,38824,38942,38910,38905,38834,38637,38615,38679,38615,38656,38641,38646,38973,38676,38654,38940,38936,38844,38965,38791,38780,38857,38949,38690,38743,38746,38845,38776,38842,38979,38843,38835,38884,38730,38643
38618,38616,38618,38616,38616,38621,38616,38616,38636,38635,38616,38618,38616,38629,38741,38720,38737,38616,38616,38706,38837,38764,38871,38794,38774,38789,38734,38837,38776,38817,38825,38943,38911,38906,38835,38638,38616,38680,38616,38657,38642,38647,38974,38677,38655,38941,38937,38845,38966,38792,38781,38858,38950,38691,38744,38747,38846,38777,38843,38980,38844,38836,38885,38731,38644
38619,38617,38619,38617,38617,38622,38617,38617,38637,38636,38617,38619,38617,38630,38742,38721,38738,38617,38617,38707,38838,38765,38872,38795,38775,38790,38735,38838,38777,38818,38826,38944,38912,38907,38836,38639,38617,38681,38617,38658,38643,38648,38975,38678,38656,38942,38938,38846,38967,38793,38782,38859,38951,38692,38745,38748,38847,38778,38844,38981,38845,38837,38886,38732,38645
38620,38618,38620,38618,38618,38623,38618,38618,38638,38637,38618,38620,38618,38631,38743,38722,38739,38618,38618,38708,38839,38766,38873,38796,38776,38791,38736,38839,38778,38819,38827,38945,38913,38908,38837,38640,38618,38682,38618,38659,38644,38649,38976,38679,38657,38943,38939,38847,38968,38794,38783,38860,38952,38693,38746,38749,38848,38779,38845,38982,38846,38838,38887,38733,38646
38621,38619,38621,38619,38619,38624,38619,38619,38639,38638,38619,38621,38619,38632,38744,38723,38740,38619,38619,38709,38840,38767,38874,38797,38777,38792,38737,38840,38779,38820,38828,38946,38914,38909,38838,38641,38619,38683,38619,38660,38645,38650,38977,38680,38658,38944,38940,38848,38969,38795,38784,38861,38953,38694,38747,38750,38849,38780,38846,38983,38847,38839,38888,38734,38647
38622,38620,38622,38620,38620,38625,38620,38620,38640,38639,38620,38622,38620,38633,38745,38724,38741,38620,38620,38710,38841,38768,38875,38798,38778,38793,38738,38841,38780,38821,38829,38947,38915,38910,38839,38642,38620,38684,38620,38661,38646,38651,38978,38681,38659,38945,38941,38849,38970,38796,38785,38862,38954,38695,38748,38751,38850,38781,38847,38984,38848,38840,38889,38735,38648
38623,38621,38623,38621,38621,38626,38621,38621,38641,38640,38621,38623,38621,38634,38746,38725,38742,38621,38621,38711,38842,38769,38876,38799,38779,38794,38739,38842,38781,38822,38830,38948,38916,38911,38840,38643,38621,38685,38621,38662,38647,38652,38979,38682,38660,38946,38942,38850,38971,38797,38786,38863,38955,38696,38749,38752,38851,38782,38848,38985,38849,38841,38890,38736,38649
38624,38622,38624,38622,38622,38627,38622,38622,38642,38641,38622,38624,38622,38635,38747,38726,38743,38622,38622,38712,38843,38770,38877,38800,38780,38795,38740,38843,38782,38823,38831,38949,38917,38912,38841,38644,38622,38686,38622,38663,38648,38653,38980,38683,38661,38947,38943,38851,38972,38798,38787,38864,38956,38697,38750,38753,38852,38783,38849,38986,38850,38842,38891,38737,38650
38625,38623,38625,38623,38623,38628,38623,38623,38643,38642,38623,38625,38623,38636,38748,38727,38744,38623,38623,38713,38844,38771,38878,38801,38781,38796,38741,38844,38783,38824,38832,38950,38918,38913,38842,38645,38623,38687,38623,38664,38649,38654,38981,38684,38662,38948,38944,38852,38973,38799,38788,38865,38957,38698,38751,38754,38853,38784,38850,38987,38851,38843,38892,38738,38651
38626,38624,38626,38624,38624,38629,38624,38624,38644,38643,38624,38626,38624,38637,38749,38728,38745,38624,38624,38714,38845,38772,38879,38802,38782,38797,38742,38845,38784,38825,38833,38951,38919,38914,38843,38646,38624,38688,38624,38665,38650,38655,38982,38685,38663,38949,38945,38853,38974,38800,38789,38866,38958,38699,38752,38755,38854,38785,38851,38988,38852,38844,38893,38739,38652
38627,38625,38627,38625,38625,38630,38625,38625,38645,38644,38625,38627,38625,38638,38750,38729,38746,38625,38625,38715,38846,38773,38880,38803,38783,38798,38743,38846,38785,38826,38834,38952,38920,38915,38844,38647,38625,38689,38625,38666,38651,38656,38983,38686,38664,38950,38946,38854,38975,38801,38790,38867,38959,38700,38753,38756,38855,38786,38852,38989,38853,38845,38894,38740,38653
38628,38626,38628,38626,38626,38631,38626,38626,38646,38645,38626,38628,38626,38639,38751,38730,38747,38626,38626,38716,38847,38774,38881,38804,38784,38799,38744,38847,38786,38827,38835,38953,38921,38916,38845,38648,38626,38690,38626,38667,38652,38657,38984,38687,38665,38951,38947,38855,38976,38802,38791,38868,38960,38701,38754,38757,38856,38787,38853,38990,38854,38846,38895,38741,38654
38629,38627,38629,38627,38627,38632,38627,38627,38647,38646,38627,38629,38627,38640,38752,38731,38748,38627,38627,38717,38848,38775,38882,38805,38785,38800,38745,38848,38787,38828,38836,38954,38922,38917,38846,38649,38627,38691,38627,38668,38653,38658,38985,38688,38666,38952,38948,38856,38977,38803,38792,38869,38961,38702,38755,38758,38857,38788,38854,38991,38855,38847,38896,38742,38655
38630,38628,38630,38628,38628,38633,38628,38628,38648,38647,38628,38630,38628,38641,38753,38732,38749,38628,38628,38718,38849,38776,38883,38806,38786,38801,38746,38849,38788,38829,38837,38955,38923,38918,38847,38650,38628,38692,38628,38669,38654,38659,38986,38689,38667,38953,38949,38857,38978,38804,38793,38870,38962,38703,38756,38759,38858,38789,38855,38992,38856,38848,38897,38743,38656
38631,38629,38631,38629,38629,38634,38629,38629,38649,38648,38629,38631,38629,38642,38754,38733,38750,38629,38629,38719,38850,38777,38884,38807,38787,38802,38747,38850,38789,38830,38838,38956,38924,38919,38848,38651,38629,38693,38629,38670,38655,38660,38987,38690,38668,38954,38950,38858,38979,38805,38794,38871,38963,38704,38757,38760,38859,38790,38856,38993,38857,38849,38898,38744,38657
38632,38630,38632,38630,38630,38635,38630,38630,38650,38649,38630,38632,38630,38643,38755,38734,38751,38630,38630,38720,38851,38778,38885,38808,38788,38803,38748,38851,38790,38831,38839,38957,38925,38920,38849,38652,38630,38694,38630,38671,38656,38661,38988,38691,38669,38955,38951,38859,38980,38806,38795,38872,38964,38705,38758,38761,38860,38791,38857,38994,38858,38850,38899,38745,38658
