94890,94897,94892,94890,94890,94926,94935,94922,94897,94890,94892,94912,94942,94943,94900,94922,94951,94950,94968,94930,94890,94954,94984,94894,94936,94990,94925,94934,94969,95016,94950,95015,94964,95028,94890,94900,95016,95041,95063,94890,94905,95081,94890,94890,95070,95055,95046,95089,94989,95018,95006,94949,94890,94940,94890,95007,95001,95007,95009,95017,95093,94994,95014,95004,95007,95011,94971,95078,95075,95113,95121,95121,95050,95130,95090,94894,94938,94893,94894,95155,95055,95105,95027,95071,95149,95141,95143,95138,95069,95109,95180,95108,95173,95092,95196,95213,95177,95189,95209,95182,95210,95204,95195,95133,95219,95173,95210,95201,95154,95216,95178,95157,95150,95219,95188,95156,95178,95062,95161,95039,95225,95206,95170,95146,95117,95168,95225,95248,95238,95248,95263,95096,95133,95216,95202,95122,95009,95146,95245,95198,95190,95237,95085,95048
94891,94898,94893,94891,94891,94927,94936,94923,94898,94891,94893,94913,94943,94944,94901,94923,94952,94951,94969,94931,94891,94955,94985,94895,94937,94991,94926,94935,94970,95017,94951,95016,94965,95029,94891,94901,95017,95042,95064,94891,94906,95082,94891,94891,95071,95056,95047,95090,94990,95019,95007,94950,94891,94941,94891,95008,95002,95008,95010,95018,95094,94995,95015,95005,95008,95012,94972,95079,95076,95114,95122,95122,95051,95131,95091,94895,94939,94894,94895,95156,95056,95106,95028,95072,95150,95142,95144,95139,95070,95110,95181,95109,95174,95093,95197,95214,95178,95190,95210,95183,95211,95205,95196,95134,95220,95174,95211,95202,95155,95217,95179,95158,95151,95220,95189,95157,95179,95063,95162,95040,95226,95207,95171,95147,95118,95169,95226,95249,95239,95249,95264,95097,95134,95217,95203,95123,95010,95147,95246,95199,95191,95238,95086,95049
94892,94899,94894,94892,94892,94928,94937,94924,94899,94892,94894,94914,94944,94945,94902,94924,94953,94952,94970,94932,94892,94956,94986,94896,94938,94992,94927,94936,94971,95018,94952,95017,94966,95030,94892,94902,95018,95043,95065,94892,94907,95083,94892,94892,95072,95057,95048,95091,94991,95020,95008,94951,94892,94942,94892,95009,95003,95009,95011,95019,95095,94996,95016,95006,95009,95013,94973,95080,95077,95115,95123,95123,95052,95132,95092,94896,94940,94895,94896,95157,95057,95107,95029,95073,95151,95143,95145,95140,95071,95111,95182,95110,95175,95094,95198,95215,95179,95191,95211,95184,95212,95206,95197,95135,95221,95175,95212,95203,95156,95218,95180,95159,95152,95221,95190,95158,95180,95064,95163,95041,95227,95208,95172,95148,95119,95170,95227,95250,95240,95250,95265,95098,95135,95218,95204,95124,95011,95148,95247,95200,95192,95239,95087,95050
94893,94900,94895,94893,94893,94929,94938,94925,94900,94893,94895,94915,94945,94946,94903,94925,94954,94953,94971,94933,94893,94957,94987,94897,94939,94993,94928,94937,94972,95019,94953,95018,94967,95031,94893,94903,95019,95044,95066,94893,94908,95084,94893,94893,95073,95058,95049,95092,94992,95021,95009,94952,94893,94943,94893,95010,95004,95010,95012,95020,95096,94997,95017,95007,95010,95014,94974,95081,95078,95116,95124,95124,95053,95133,95093,94897,94941,94896,94897,95158,95058,95108,95030,95074,95152,95144,95146,95141,95072,95112,95183,95111,95176,95095,95199,95216,95180,95192,95212,95185,95213,95207,95198,95136,95222,95176,95213,95204,95157,95219,95181,95160,95153,95222,95191,95159,95181,95065,95164,95042,95228,95209,95173,95149,95120,95171,95228,95251,95241,95251,95266,95099,95136,95219,95205,95125,95012,95149,95248,95201,95193,95240,95088,95051
94894,94901,94896,94894,94894,94930,94939,94926,94901,94894,94896,94916,94946,94947,94904,94926,94955,94954,94972,94934,94894,94958,94988,94898,94940,94994,94929,94938,94973,95020,94954,95019,94968,95032,94894,94904,95020,95045,95067,94894,94909,95085,94894,94894,95074,95059,95050,95093,94993,95022,95010,94953,94894,94944,94894,95011,95005,95011,95013,95021,95097,94998,95018,95008,95011,95015,94975,95082,95079,95117,95125,95125,95054,95134,95094,94898,94942,94897,94898,95159,95059,95109,95031,95075,95153,95145,95147,95142,95073,95113,95184,95112,95177,95096,95200,95217,95181,95193,95213,95186,95214,95208,95199,95137,95223,95177,95214,95205,95158,95220,95182,95161,95154,95223,95192,95160,95182,95066,95165,95043,95229,95210,95174,95150,95121,95172,95229,95252,95242,95252,95267,95100,95137,95220,95206,95126,95013,95150,95249,95202,95194,95241,95089,95052
94895,94902,94897,94895,94895,94931,94940,94927,94902,94895,94897,94917,94947,94948,94905,94927,94956,94955,94973,94935,94895,94959,94989,94899,94941,94995,94930,94939,94974,95021,94955,95020,94969,95033,94895,94905,95021,95046,95068,94895,94910,95086,94895,94895,95075,95060,95051,95094,94994,95023,95011,94954,94895,94945,94895,95012,95006,95012,95014,95022,95098,94999,95019,95009,95012,95016,94976,95083,95080,95118,95126,95126,95055,95135,95095,94899,94943,94898,94899,95160,95060,95110,95032,95076,95154,95146,95148,95143,95074,95114,95185,95113,95178,95097,95201,95218,95182,95194,95214,95187,95215,95209,95200,95138,95224,95178,95215,95206,95159,95221,95183,95162,95155,95224,95193,95161,95183,95067,95166,95044,95230,95211,95175,95151,95122,95173,95230,95253,95243,95253,95268,95101,95138,95221,95207,95127,95014,95151,95250,95203,95195,95242,95090,95053
94896,94903,94898,94896,94896,94932,94941,94928,94903,94896,94898,94918,94948,94949,94906,94928,94957,94956,94974,94936,94896,94960,94990,94900,94942,94996,94931,94940,94975,95022,94956,95021,94970,95034,94896,94906,95022,95047,95069,94896,94911,95087,94896,94896,95076,95061,95052,95095,94995,95024,95012,94955,94896,94946,94896,95013,95007,95013,95015,95023,95099,95000,95020,95010,95013,95017,94977,95084,95081,95119,95127,95127,95056,95136,95096,94900,94944,94899,94900,95161,95061,95111,95033,95077,95155,95147,95149,95144,95075,95115,95186,95114,95179,95098,95202,95219,95183,95195,95215,95188,95216,95210,95201,95139,95225,95179,95216,95207,95160,95222,95184,95163,95156,95225,95194,95162,95184,95068,95167,95045,95231,95212,95176,95152,95123,95174,95231,95254,95244,95254,95269,95102,95139,95222,95208,95128,95015,95152,95251,95204,95196,95243,95091,95054
94897,94904,94899,94897,94897,94933,94942,94929,94904,94897,94899,94919,94949,94950,94907,94929,94958,94957,94975,94937,94897,94961,94991,94901,94943,94997,94932,94941,94976,95023,94957,95022,94971,95035,94897,94907,95023,95048,95070,94897,94912,95088,94897,94897,95077,95062,95053,95096,94996,95025,95013,94956,94897,94947,94897,95014,95008,95014,95016,95024,95100,95001,95021,95011,95014,95018,94978,95085,95082,95120,95128,95128,95057,95137,95097,94901,94945,94900,94901,95162,95062,95112,95034,95078,95156,95148,95150,95145,95076,95116,95187,95115,95180,95099,95203,95220,95184,95196,95216,95189,95217,95211,95202,95140,95226,95180,95217,95208,95161,95223,95185,95164,95157,95226,95195,95163,95185,95069,95168,95046,95232,95213,95177,95153,95124,95175,95232,95255,95245,95255,95270,95103,95140,95223,95209,95129,95016,95153,95252,95205,95197,95244,95092,95055
94898,94905,94900,94898,94898,94934,94943,94930,94905,94898,94900,94920,94950,94951,94908,94930,94959,94958,94976,94938,94898,94962,94992,94902,94944,94998,94933,94942,94977,95024,94958,95023,94972,95036,94898,94908,95024,95049,95071,94898,94913,95089,94898,94898,95078,95063,95054,95097,94997,95026,95014,94957,94898,94948,94898,95015,95009,95015,95017,95025,95101,95002,95022,95012,95015,95019,94979,95086,95083,95121,95129,95129,95058,95138,95098,94902,94946,94901,94902,95163,95063,95113,95035,95079,95157,95149,95151,95146,95077,95117,95188,95116,95181,95100,95204,95221,95185,95197,95217,95190,95218,95212,95203,95141,95227,95181,95218,95209,95162,95224,95186,95165,95158,95227,95196,95164,95186,95070,95169,95047,95233,95214,95178,95154,95125,95176,95233,95256,95246,95256,95271,95104,95141,95224,95210,95130,95017,95154,95253,95206,95198,95245,95093,95056
94899,94906,94901,94899,94899,94935,94944,94931,94906,94899,94901,94921,94951,94952,94909,94931,94960,94959,94977,94939,94899,94963,94993,94903,94945,94999,94934,94943,94978,95025,94959,95024,94973,95037,94899,94909,95025,95050,95072,94899,94914,95090,94899,94899,95079,95064,95055,95098,94998,95027,95015,94958,94899,94949,94899,95016,95010,95016,95018,95026,95102,95003,95023,95013,95016,95020,94980,95087,95084,95122,95130,95130,95059,95139,95099,94903,94947,94902,94903,95164,95064,95114,95036,95080,95158,95150,95152,95147,95078,95118,95189,95117,95182,95101,95205,95222,95186,95198,95218,95191,95219,95213,95204,95142,95228,95182,95219,95210,95163,95225,95187,95166,95159,95228,95197,95165,95187,95071,95170,95048,95234,95215,95179,95155,95126,95177,95234,95257,95247,95257,95272,95105,95142,95225,95211,95131,95018,95155,95254,95207,95199,95246,95094,95057
