F,Obj_ID,dist1_mod,dist2_mod,YawDiff1_mod,YawDiff2_mod,speed_SGF,yawAngle_axis2,acc_SGF
66128,142x_1119_38,4.4439959,7.337223421,-5.928223102,-2.732172498,1.839752459,-2.801504604,0.158657488
107228,122x_1118_168,1.888540967,3.031471558,-6.023201505,-3.016776426,1.83983884,-3.084852885,-6.406591403
38780,112x_112x_1116_40,99,99,0,0,1.84010595,-3.072123503,0.369398214
127,171x_1111_10,99,99,0,0,1.840205794,-3.049530362,0.017004393
90592,182x_1113_38,99,99,0,0,1.840440707,0.207790548,-0.852666167
49178,112x_112x_1114_55,4.289829281,99,-6.248343618,0,1.840896949,-3.117423347,3.856220538
40383,152x_1113_106,6.254580543,8.340405117,5.39737425,5.459100967,1.841048391,2.477783728,3.792885446
66132,142x_1119_38,4.494671851,6.965184044,5.987638989,3.170051516,1.841153885,3.079133377,-0.389856451
66131,142x_1119_38,4.503586534,7.072235264,-0.096198487,-3.055656084,1.841578646,-3.091011343,-0.167421929
57223,122x_1114_180,99,99,0,0,1.841740398,0.209476422,2.568682759
66129,142x_1119_38,4.478367605,7.253171238,0.267153181,-2.849736974,1.842041206,-2.873473973,0.105047442
2986,152x_1111_193,8.026211629,99,5.591832948,0,1.842046058,3.115578869,1.043709218
2801,152x_1111_193,6.057567911,6.769229408,-6.106861,-6.098126004,1.842135354,-3.065218306,0.262880781
20329,142x_1111_186,7.862917974,10.28711116,-6.069301663,-6.062861134,1.842225038,-2.996580134,-1.134431223
66534,142x_1115_201,5.435681951,6.992076576,-6.028281936,-6.017585417,1.84238854,-3.054089845,1.068135611
64958,161x_1111_23,5.054418817,99,0.008326348,0,1.84250722,0.223455204,0.980675214
104024,122x_1117_86,99,99,0,0,1.842587126,3.030910204,-1.375649982
103557,172x_1113_59,99,99,0,0,1.842705217,-2.748859558,-4.928687365
104053,122x_1117_86,99,99,0,0,1.843017902,-3.10471847,1.736085342
69074,182x_1111_88,5.428450585,11.55388823,0.027656672,-2.45447258,1.843081437,-2.65630278,0.316471754
107316,122x_1118_168,3.689032413,5.178470539,5.9609309,5.872880739,1.843277409,2.879831208,11.53365844
2822,152x_1111_193,6.561413287,7.153413254,-0.275625975,-5.953260183,1.843284444,-3.004416293,0.071510345
92431,122x_1119_22,4.281169967,99,-0.382150351,0,1.843586288,-0.245938593,-3.194726561
66503,142x_1115_201,5.22246657,6.758494632,-6.124752557,-6.095382462,1.843899588,-2.997668123,-0.859298815
92444,122x_1119_22,3.928746088,99,-0.356474439,0,1.844003527,-0.212214063,-4.43161114
104988,162x_1114_35,99,99,0,0,1.84426888,-1.082266656,-1.738182772
15796,112x_112x_1111_179,1.624781059,5.684491944,0.01750239,-0.080982511,1.844396787,-3.115281108,4.162143765
64967,161x_1111_23,4.768548433,99,0.076347709,0,1.844430477,0.084945679,-1.105059724
40457,152x_1113_106,6.25587287,99,-0.277729634,0,1.844564877,-2.926672494,-5.916436574
46458,112x_112x_1113_103,2.651409959,4.372784177,-0.144220425,-0.319654475,1.845014651,-0.459582589,2.339923778
17007,172x_1111_7,99,99,0,0,1.845261608,-2.698776518,-4.331176268
103689,162x_1113_157,4.880558219,99,1.844419033,0,1.845360336,-0.122940712,0.766743955
46485,112x_112x_1113_103,4.490035425,99,-0.072705455,0,1.845606679,-0.086571102,2.694560346
20277,142x_1111_186,5.901813182,9.94268322,-0.009357334,5.983700415,1.84588898,3.114412258,0.41360799
2823,152x_1111_193,6.551924869,7.218685018,-0.162787397,-6.023523887,1.846262954,-3.025845155,0.180858865
103795,162x_1113_185,5.892048774,99,0.038457386,0,1.847364501,0.620896602,-0.799115571
2821,152x_1111_193,6.57901786,7.066881515,-0.188583174,-5.917238008,1.847484647,-3.004431825,-0.07965326
66103,142x_1119_38,4.27772634,9.980892501,5.774133982,2.583804428,1.847591761,3.019155146,-0.499424492
15803,112x_112x_1111_179,1.524348466,5.761297881,-0.215470617,-5.927874263,1.847870182,-2.920578119,-5.191721675
103691,162x_1113_157,4.713744866,99,2.045995971,0,1.848297935,0.080124142,-0.974280913
64940,161x_1111_23,5.3314776,99,-0.207961837,0,1.848744162,0.044932565,1.025651879
66482,142x_1115_201,2.17341976,5.183677416,-6.11248007,0.045861012,1.848916315,-3.092789556,3.515383277
38752,112x_112x_1116_40,4.493061131,99,5.91912493,0,1.849185065,3.126619851,0.22976803
3119,121x_1111_58,2.620680377,99,-0.04682527,0,1.849354796,-0.064023598,-0.176511597
3120,121x_1111_58,2.643962929,99,-0.033743058,0,1.849575764,-0.032287366,-0.778264448
2775,152x_1111_193,5.488204219,6.169064393,-6.231459501,-5.911685196,1.849976468,-3.139449312,0.371787611
64919,161x_1111_23,5.426389539,99,-0.175401859,0,1.850277627,-0.211249973,1.055347333
12339,122x_1112_99,1.143460745,99,-6.14646652,0,1.850695613,-3.035624,1.104728975
103670,162x_1113_157,3.337862279,6.603116341,2.717324276,-3.003959832,1.850954763,-0.271593033,0.044409173
57210,122x_1114_180,99,99,0,0,1.851202181,-0.134064965,10.20112611
