ID,X,Y,F,VX,VY,Obj,V,V_kph,V_mps,VX_mps,VY_mps,comp,type,Obj_ID,X_SGF,Y_SGF,V_mps_corrected,speed_SGF,VX_mps_corrected,speed_x_SGF,VY_mps_corrected,speed_y_SGF,acc_inst,acc_inst_x,acc_inst_y,yawAngle,acc_SGF,acc_SGF_x,acc_SGF_y,yawAngle_SGF,yawRate,yawRate_SGF,jerk,jerk_SGF,X_axis2_SGF,Y_axis2_SGF,deltaX,deltaY,quarter,yawAngle_axis2
49,28.5,46.57,15801,0.03772,-0.04672,165,0.060046289,6.478514192,1.799587276,1.1304684,-1.4001984,1111,p,1111_165,28.49564706,46.56565611,1.799587276,1.89074488,0.03772,0.040309142,-0.04672,-0.048182814,-4.297881231,-0.193305144,0.044461376,-0.547446365,-4.015406739,-0.190754782,0.042216828,-0.557105777,-1.199469344,-1.338804608,2.722462705,2.698410184,53.29091372,11.85076983,-0.013557955,-0.013557955,3,-2.35619449
50,28.53,46.52,15802,0.03503,-0.04629,165,0.058050538,6.263188681,1.739774634,1.0498491,-1.3873113,1111,p,1111_165,28.51762896,46.52047964,1.739774634,1.747338767,0.03503,0.033859187,-0.04629,-0.046699285,-3.673714521,-0.188571782,0.028641014,-0.452852894,-3.706429207,-0.192359063,0.028781573,-0.460686299,-1.44629217,-1.488726273,-4.634662984,-3.430254287,53.27368781,11.80357464,-0.017225905,-0.017225905,3,-2.35619449
51,28.53,46.48,15803,0.02693,-0.04559,165,0.052949721,5.712851345,1.586903151,0.8070921,-1.3663323,1111,p,1111_165,28.53457919,46.47629864,1.586903151,1.624759036,0.02693,0.027567169,-0.04559,-0.045743629,-2.554590944,-0.157092162,0.008441505,-0.366336279,-3.095316956,-0.176294126,0.014590671,-0.359520903,-1.517480936,-1.446198974,-9.166683761,-8.06545961,53.25368257,11.76069037,-0.020005244,-0.020005244,3,-2.35619449
52,28.55,46.43,15804,0.02239,-0.04434,165,0.049672404,5.359254992,1.488681942,0.6710283,-1.3288698,1111,p,1111_165,28.54907692,46.43066063,1.488681942,1.539520766,0.02239,0.022325522,-0.04434,-0.045461964,-2.130108875,-0.142860074,0.002884443,-0.30758618,-2.354206386,-0.147032872,0.004162443,-0.271409391,-1.321672687,-1.182631711,-11.11665856,-10.97716,53.23092557,11.71855806,-0.022756997,-0.022756997,3,-2.35619449
53,28.56,46.39,15805,0.01674,-0.04479,165,0.047816019,5.158965952,1.433046098,0.5016978,-1.3423563,1111,p,1111_165,28.55979186,46.38511312,1.433046098,1.468446063,0.01674,0.017558753,-0.04479,-0.045365719,-1.642610644,-0.113893052,-0.001870345,-0.231046369,-1.548538065,-0.107026347,-0.0025123,-0.217753269,-0.804841831,-0.726273457,-12.08502481,-13.20817948,53.20560583,11.67920966,-0.025319739,-0.025319739,3,-2.35619449
54,28.58,46.33,15806,0.01465,-0.04687,165,0.049106205,5.298166703,1.471712973,0.4390605,-1.4046939,1111,p,1111_165,28.56736652,46.33911312,1.471712973,1.413637566,0.01465,0.013758518,-0.04687,-0.045428127,-0.843443454,-0.063154791,-0.006276613,-0.163201975,-0.602867349,-0.052941917,-0.007009838,-0.213171601,-0.068725022,-0.083437882,-14.18506074,-15.13728017,53.17777912,11.64180579,-0.027826706,-0.027826706,3,-2.35619449
55,28.58,46.29,15807,0.009336,-0.04612,165,0.047055449,5.076906521,1.410251811,0.27979992,-1.3822164,1111,p,1111_165,28.57761991,46.29211765,1.410251811,1.385494641,0.009336,0.011651251,-0.04612,-0.045637557,0.373048146,0.010269268,-0.007846173,-0.214812058,0.432291004,0.00940244,-0.009114808,-0.259127984,0.689345747,0.657286585,-15.52737529,-16.48069262,53.15109722,11.60178351,-0.026681908,-0.026681908,3,-2.35619449
56,28.59,46.25,15808,0.01234,-0.04598,165,0.0476071,5.136425267,1.426784796,0.3698298,-1.3780206,1111,p,1111_165,28.59474208,46.24564706,1.426784796,1.397942027,0.01234,0.011993902,-0.04598,-0.045899357,1.274482016,0.068900623,-0.00811414,-0.353017461,1.523431117,0.078409547,-0.009091333,-0.346931462,1.317052173,1.310419258,-16.3671017,-16.89775053,53.12956447,11.55718502,-0.021532745,-0.021532745,3,-2.35619449
57,28.61,46.2,15809,0.01155,-0.04702,165,0.048417795,5.223892769,1.451081325,0.3461535,-1.4091894,1111,p,1111_165,28.62,46.19922172,1.451081325,1.440467286,0.01155,0.014292889,-0.04702,-0.0461701,2.653826324,0.146962302,-0.008387532,-0.498267133,2.68687429,0.14525188,-0.010726777,-0.466802272,1.798062146,1.720511805,-17.45164759,-16.22150528,53.11371602,11.50676577,-0.015848456,-0.015848456,3,-2.35619449
58,28.64,46.15,15810,0.01664,-0.04702,165,0.04987755,5.381388631,1.494830175,0.4987008,-1.4091894,1111,p,1111_165,28.65377376,46.15238914,1.494830175,1.529016713,0.01664,0.019196536,-0.04702,-0.046449964,3.902423745,0.206555139,-0.014338136,-0.624786214,3.674042696,0.200346574,-0.011913935,-0.599292369,1.987351455,1.866470893,-14.80752609,-13.26949982,53.10349041,11.44993801,-0.01022561,-0.01022561,3,-2.35619449
59,28.67,46.11,15811,0.01906,-0.04512,165,0.048980588,5.2846136,1.467948222,0.5712282,-1.3522464,1111,p,1111_165,28.69552036,46.10466968,1.467948222,1.659227715,0.01906,0.026088599,-0.04512,-0.04692838,4.38315875,0.239554414,-0.010399726,-0.718736008,4.162796703,0.228962157,-0.009949129,-0.722861977,1.853544118,1.773583004,-7.331310112,-7.427189122,53.09816543,11.38675914,-0.005324978,-0.005324978,3,-2.35619449
60,28.72,46.06,15812,0.02985,-0.04617,165,0.054979009,5.931795209,1.647720891,0.8946045,-1.3837149,1111,p,1111_165,28.74586425,46.05617195,1.647720891,1.805479259,0.02985,0.034081739,-0.04617,-0.047275385,4.006833548,0.226954809,-0.003913458,-0.80407389,4.110965514,0.229406751,-0.005952196,-0.813575459,1.360702242,1.478494098,0.77746784,0.682043752,53.09825298,11.31685542,8.76E-05,8.76E-05,1,0.785398163
